customer_id,lead_id,name,phone,purchase_details,contract_date,payment_plan,customer_type,support_status
C000071,L000099,El-Saad-ah,(+20)01285213840,Apartment,4/9/2024,Installments,New,Inactive
C000072,L000083,DALAMENHOTEPI,(+20)01270212717,Villa,4/22/2024,Installments,New,Inactive
C000073,L000100,Ibrahimaskhaled,(+20)01138863637,Apartment,4/18/2024,Cash,VIP,Active
C000074,L000084,Zakariaran,(+20)01130898440,Villa,2/4/2024,Installments,Returning,Active
C000076,L000101,Dar-Amr-eddine,(+20)01534502279,Apartment,3/23/2024,Installments,New,Active
C000077,L000103,bastetosreda,(+20)01123770518,Apartment,8/28/2024,Installments,New,Inactive
C000078,L076474,YASMINARDALAL,(+20)01177119837,Studio,10/13/2024,Installments,Returning,Active
C000079,L000104,IbnZainabuddin,(+20)01166150239,Apartment,10/25/2024,Installments,New,Active
C000080,L000118,WALEEDIN,(+20)01297044665,Apartment,7/10/2024,Installments,Returning,Active
C000081,L000049,MAHMOUDATRAED,(+20)01578819489,Duplex,4/28/2024,Installments,New,Active
C000083,L096099,Bahia8096,(+20)01516961080,Twin House,3/25/2024,Cash,Returning,Active
C000085,L066413,Ghada_43,(+20)01099221463,Penthouse,2/27/2024,Cash,VIP,Active
C000086,L071700,IbnAhmedy,(+20)01201101003,Townhouse,3/17/2024,Installments,New,Active
C000087,L071910,AinLeilayan87,(+20)01143693502,Townhouse,8/22/2024,Cash,VIP,Inactive
C000088,L000119,BintKarimel,(+20)01586574278,Apartment,8/8/2024,Installments,New,Active
C000089,L000121,Sneferuoush,(+20)01176239070,Apartment,9/16/2024,Installments,New,Active
C000090,L000122,NabilazMedhat,(+20)01546180260,Apartment,3/31/2024,Installments,Returning,Active
C000091,L000123,Salma_12,(+20)01187231520,Apartment,2/28/2024,Cash,Returning,Active
C000092,L093370,AinZiad,(+20)01106720796,Townhouse,4/6/2024,Cash,Returning,Active
C000093,L000124,Ramsesuddin,(+20)01274731167,Apartment,10/1/2024,Installments,Returning,Active
C000094,L000107,Mostafa-Lubna,(+20)01560316093,Villa,9/17/2024,Cash,VIP,Inactive
C000095,L088717,Latif-oush,(+20)01158587956,Land,4/11/2024,Installments,Returning,Active
C000096,L000115,Abd-Karim-eldin,(+20)01230117119,Villa,9/14/2024,Installments,New,Inactive
C000097,L000129,ElRaniaal,(+20)01592802638,Villa,7/24/2024,Installments,New,Active
C000100,L000131,Bal-Youssef,(+20)01137156383,Apartment,6/8/2024,Installments,New,Active
C000101,L000134,ElMagdyon,(+20)01075504211,Villa,8/24/2024,Cash,VIP,Active
C000103,L000133,zainaboush,(+20)01120357462,Apartment,2/7/2024,Installments,Returning,Active
C000104,L000135,Hassanman,(+20)01514948017,Apartment,1/16/2025,Installments,Returning,Active
C000106,L000140,Faranubis,(+20)01170659494,Apartment,1/8/2025,Cash,VIP,Active
C000107,L000141,Dar-Hoda-un,(+20)01237913018,Apartment,3/14/2024,Installments,New,Inactive
C000108,L000142,Abeer-Fatma,(+20)01014201915,Apartment,10/16/2024,Cash,VIP,Active
C000109,L000144,Maryama,(+20)01265694261,Apartment,2/9/2024,Installments,Returning,Active
C000110,L000145,khaledabwaleed,(+20)01591689659,Apartment,10/13/2024,Installments,Returning,Active
C000111,L076161,TarekasMahmoud,(+20)01201470120,Penthouse,2/2/2024,Installments,Returning,Active
C000112,L000143,AshrafabAmr,(+20)01524746903,Villa,10/20/2024,Installments,Returning,Inactive
C000113,L000146,BenFarida,(+20)01189396912,Apartment,8/21/2024,Cash,VIP,Inactive
C000114,L000148,Bar-Khaled,(+20)01032532115,Apartment,9/10/2024,Cash,VIP,Active
C000115,L000160,Barbushra,(+20)01103095467,Villa,8/16/2024,Cash,VIP,Active
C000116,L022083,zein5956,(+20)01502489846,iVilla,9/10/2024,Installments,New,Active
C000117,L000153,Bint-Khalil-a,(+20)01063961564,Apartment,3/27/2024,Cash,Returning,Inactive
C000118,L000162,Tamer9,(+20)01028657880,Villa,3/31/2024,Installments,Returning,Active
C000119,L000155,Youssef-a,(+20)01097406105,Apartment,2/17/2024,Cash,Returning,Active
C000120,L000156,Sara_16,(+20)01519281454,Apartment,4/2/2024,Cash,VIP,Inactive
C000122,L000069,Wael_68,(+20)01247496442,Duplex,9/10/2024,Installments,New,Active
C000123,L000157,Maher Aziz,(+20)01512580334,Apartment,11/2/2024,Installments,New,Inactive
C000125,L000159,UMHODAAN,(+20)01081051827,Apartment,10/6/2024,Installments,Returning,Inactive
C000127,L000161,Raed21,(+20)01192994692,Apartment,3/1/2024,Installments,Returning,Inactive
C000128,L000164,NurHalay,(+20)01032522504,Apartment,12/28/2024,Installments,New,Active
C000130,L000167,NoorMahmoududdin,(+20)01010653379,Apartment,10/27/2024,Installments,Returning,Inactive
C000131,L054243,Abu-Fatma-on,(+20)01047911744,Twin House,8/2/2024,Installments,New,Inactive
C000132,L000169,Darnouray,(+20)01222886874,Apartment,8/19/2024,Installments,New,Inactive
C000134,L000172,YoussefilTarek,(+20)01143749589,Apartment,8/1/2024,Installments,Returning,Active
C000136,L000184,El-Karim-eddin,(+20)01066884749,Apartment,8/30/2024,Installments,New,Inactive
C000137,L000185,Aynlouay,(+20)01100232973,Apartment,9/13/2024,Cash,Returning,Active
C000138,L092274,TarekazAmr,(+20)01583615424,Townhouse,9/28/2024,Installments,New,Inactive
C000139,L000186,Mahmoud_95,(+20)01243856692,Apartment,2/2/2024,Cash,VIP,Active
C000140,L033663,Nasser5972495,(+20)01031043369,Townhouse,11/15/2024,Cash,VIP,Inactive
C000141,L000188,BintFatmaey,(+20)01243499822,Apartment,8/12/2024,Installments,New,Active
C000142,L000190,Ibn-Ali-ah,(+20)01251570376,Apartment,12/11/2024,Installments,New,Active
C000144,L000193,Dal Abeer,(+20)01070057028,Apartment,8/14/2024,Cash,Returning,Inactive
C000145,L000195,Salimoush,(+20)01282666008,Apartment,8/29/2024,Installments,Returning,Active
C000147,L000197,Ibn-Bahia,(+20)01120091356,Apartment,10/2/2024,Installments,New,Inactive
C000148,L000198,NasseratAhmed,(+20)01296470451,Apartment,8/24/2024,Installments,Returning,Inactive
C000149,L000199,NabiledSaad,(+20)01541267431,Apartment,9/7/2024,Cash,Returning,Active
C000150,L000182,IbrahimatKhalil,(+20)01238858058,Villa,10/13/2024,Cash,VIP,Active
C000152,L000206,Abeer-Bushra,(+20)01102046023,Apartment,8/3/2024,Installments,New,Active
C000153,L000207,Hussein56,(+20)01127773822,Apartment,10/21/2024,Cash,VIP,Active
C000154,L000210,Saad-y,(+20)01197125019,Apartment,3/20/2024,Cash,VIP,Active
C000155,L000214,Khadija_3,(+20)01062849524,Apartment,10/11/2024,Installments,Returning,Active
C000156,L095984,Nabilayan,(+20)01525423717,iVilla,8/17/2024,Installments,Returning,Inactive
C000157,L000192,YasminudQasim,(+20)01596191552,Villa,8/17/2024,Cash,VIP,Active
C000158,L000218,zahra-zan,(+20)01594213799,Apartment,10/1/2024,Cash,VIP,Active
C000159,L000219,Ankhish,(+20)01195505277,Apartment,5/2/2024,Cash,VIP,Inactive
C000160,L081559,AynJamilesh,(+20)01004626262,Penthouse,10/6/2024,Cash,VIP,Active
C000161,L000221,AynNabil,(+20)01031616283,Apartment,4/15/2024,Installments,Returning,Inactive
C000162,L000224,AbdFatmaman,(+20)01127941729,Apartment,10/9/2024,Installments,New,Active
C000163,L000203,AlEssamy,(+20)01522702888,Villa,10/14/2024,Cash,VIP,Active
C000166,L000209,Rania54,(+20)01171828909,Villa,7/29/2024,Cash,VIP,Active
C000167,L000231,SamiratHani,(+20)01517251129,Villa,3/28/2024,Cash,VIP,Active
C000168,L058929,BINT BUSHRA,(+20)01010470343,Penthouse,3/11/2024,Cash,VIP,Active
C000169,L000229,Badr-eh,(+20)01182353614,Apartment,4/3/2024,Cash,VIP,Active
C000171,L000252,Ben-Latif,(+20)01133009025,Villa,8/10/2024,Cash,VIP,Active
C000172,L000234,Mahmoud41,(+20)01190874763,Apartment,2/23/2024,Installments,Returning,Active
C000173,L000076,Noor-Khaled-y,(+20)01571527120,Duplex,8/30/2024,Installments,New,Active
C000174,L000235,bint-khalil-ey,(+20)01117992751,Apartment,3/28/2024,Cash,VIP,Inactive
C000176,L000239,Osama16,(+20)01595398309,Apartment,8/28/2024,Installments,New,Active
C000177,L000240,El-Tarek-el,(+20)01283645900,Apartment,7/17/2024,Installments,New,Active
C000179,L000242,DarNadaeh,(+20)01108717683,Apartment,3/6/2024,Cash,VIP,Active
C000180,L000243,DARNABILEH,(+20)01064552849,Apartment,2/13/2024,Installments,New,Active
C000181,L000245,Amaluddin,(+20)01115769452,Apartment,9/4/2024,Installments,Returning,Active
C000182,L031145,Dalia-ef,(+20)01072530248,iVilla,10/4/2024,Cash,VIP,Active
C000184,L000250,ElEmanin,(+20)01562984780,Apartment,10/8/2024,Installments,New,Active
C000185,L000251,Essamabmohamed,(+20)01112012050,Apartment,8/9/2024,Installments,Returning,Active
C000186,L000253,dar-ghada-eddin,(+20)01247258347,Apartment,8/19/2024,Installments,New,Active
C000187,L000258,Tamery,(+20)01583617782,Villa,4/18/2024,Installments,New,Active
C000188,L000094,Maher-Afaf,(+20)01591866552,Duplex,11/5/2024,Installments,Returning,Inactive
C000189,L067107,AlienOmar,(+20)01507636654,Penthouse,4/12/2024,Installments,Returning,Active
C000190,L072301,Khalileh,(+20)01599597570,Bungalow,3/24/2024,Installments,Returning,Active
C000191,L000254,Ibn Tahira,(+20)01244720506,Apartment,3/23/2024,Cash,VIP,Inactive
C000192,L000255,Kamil-ash,(+20)01267355098,Apartment,2/2/2024,Cash,Returning,Active
C000194,L000257,Amr_42,(+20)01097748397,Apartment,3/6/2024,Installments,Returning,Inactive
C000195,L000260,Prof_Hussein,(+20)01079753254,Apartment,7/7/2024,Cash,VIP,Active
C000196,L000261,Noorhorus,(+20)01249187351,Apartment,9/8/2024,Cash,New,Active
C000197,L000269,Malakaf,(+20)01220805237,Villa,9/13/2024,Installments,Returning,Inactive
C000199,L000267,ihabodkamil,(+20)01045988662,Apartment,9/25/2024,Cash,Returning,Inactive
C000201,L000276,Tamer_42,(+20)01076874079,Apartment,3/11/2024,Installments,Returning,Active
C000202,L000278,Noor-Raed-ullah,(+20)01110204301,Apartment,4/29/2024,Cash,VIP,Inactive
C000205,L000285,Gamila-Ahmed,(+20)01157866621,Apartment,3/30/2024,Cash,VIP,Active
C000206,L000287,Omar_54,(+20)01234693610,Apartment,8/14/2024,Cash,VIP,Inactive
C000207,L000290,BintEssamel,(+20)01195290972,Apartment,5/1/2024,Installments,New,Active
C000208,L084598,Abu-Wafa,(+20)01250621670,iVilla,7/21/2024,Cash,New,Active
C000209,L000295,NabilenRaed,(+20)01122154536,Apartment,4/2/2024,Cash,Returning,Active
C000211,L077179,Ain-Amal,(+20)01085471269,Studio,8/10/2024,Cash,New,Active
C000212,L000095,MedhatotKhadija603,(+20)01505803650,Duplex,9/6/2024,Cash,VIP,Inactive
C000213,L097475,Zakaria-osh,(+20)01125481289,Penthouse,3/4/2024,Installments,New,Active
C000214,L000281,Saad_51,(+20)01063224062,Villa,10/27/2024,Installments,Returning,Active
C000216,L000288,LUBNA5184,(+20)01005286805,Villa,10/19/2024,Installments,New,Inactive
C000217,L000299,nur-osama-y,(+20)01071360848,Apartment,8/5/2024,Installments,Returning,Active
C000218,L000292,Rafiq-eldeen,(+20)01148657227,Villa,9/2/2024,Installments,Returning,Active
C000219,L000303,AmunerNaguib,(+20)01188711583,Apartment,9/9/2024,Installments,Returning,Inactive
C000220,L000304,KhalededMagdy,(+20)01547979600,Apartment,3/28/2024,Installments,New,Active
C000221,L000311,Samira-ef,(+20)01092144031,Apartment,10/3/2024,Cash,VIP,Inactive
C000222,L000313,Abu-Ankh,(+20)01085970018,Apartment,4/15/2024,Cash,VIP,Inactive
C000223,L000314,Um-Khalil-eddine,(+20)01531090936,Apartment,2/8/2024,Installments,New,Active
C000224,L000315,EssamulNasser,(+20)01228298514,Apartment,9/18/2024,Installments,Returning,Active
C000225,L000316,KarimatGamal,(+20)01046841645,Apartment,8/15/2024,Cash,VIP,Active
C000226,L000317,El-Mona-un,(+20)01553465712,Apartment,3/12/2024,Installments,Returning,Inactive
C000227,L066267,IbrahimemNasser,(+20)01592348036,Twin House,2/13/2024,Cash,VIP,Active
C000228,L000318,Salimeldin,(+20)01512593514,Apartment,10/26/2024,Installments,New,Inactive
C000229,L000320,Nefertiti-esh,(+20)01245707185,Apartment,4/22/2024,Installments,Returning,Inactive
C000232,L000329,Hgkwzqsr721,(+20)01246338943,Apartment,7/8/2024,Installments,Returning,Active
C000233,L013675,BintOsiris,(+20)01509944792,Bungalow,10/2/2024,Cash,VIP,Active
C000234,L000335,AliemRaed,(+20)01260896337,Apartment,8/2/2024,Installments,New,Inactive
C000235,L000336,Munir5858,(+20)01192565421,Apartment,10/16/2024,Installments,New,Active
C000236,L000337,SaadilMohamed,(+20)01529799686,Apartment,8/20/2024,Installments,New,Active
C000237,L000339,Al-Medhat-un,(+20)01517316025,Apartment,9/19/2024,Installments,New,Active
C000238,L000341,ABUWAELY,(+20)01251412019,Apartment,10/17/2024,Cash,VIP,Active
C000239,L000342,Bay-Khafra,(+20)01587384474,Apartment,8/9/2024,Installments,New,Inactive
C000240,L000348,Ibrahimeldeen,(+20)01521023406,Apartment,4/25/2024,Installments,Returning,Active
C000241,L000108,Ben-Zein,(+20)01089990655,Duplex,2/9/2024,Installments,New,Active
C000242,L000354,Um-Osama-eldin,(+20)01261696632,Apartment,3/12/2024,Installments,Returning,Active
C000244,L000358,HaniasAshraf,(+20)01241130192,Apartment,2/26/2024,Installments,New,Inactive
C000248,L000366,Noura-in,(+20)01553958344,Apartment,4/11/2024,Installments,Returning,Inactive
C000249,L000369,NurAmrah,(+20)01590846268,Apartment,11/6/2024,Installments,New,Active
C000251,L005193,Tariq-in,(+20)01182964329,Townhouse,4/2/2024,Cash,VIP,Inactive
C000253,L000371,AbuMostafaman,(+20)01084902356,Apartment,3/13/2024,Cash,New,Inactive
C000255,L000374,KhaledanOsama,(+20)01267481618,Apartment,3/23/2024,Cash,VIP,Active
C000256,L000376,Nurkhaled,(+20)01113258662,Apartment,4/15/2024,Installments,Returning,Active
C000257,L000378,Nasserallah,(+20)01092677808,Apartment,3/7/2024,Cash,VIP,Active
C000258,L000381,AbuRaniauddin,(+20)01013769162,Apartment,4/2/2024,Installments,Returning,Active
C000260,L087361,IbnSaraal,(+20)01228141790,Townhouse,4/10/2024,Installments,New,Active
C000261,L000384,Al-Khalil-el,(+20)01060263110,Apartment,3/21/2024,Cash,VIP,Active
C000262,L000385,NurRaniaeldin,(+20)01251735878,Apartment,3/17/2024,Cash,VIP,Active
C000263,L000293,Ain-abeer,(+20)01235120199,Villa,2/11/2024,Installments,Returning,Active
C000264,L000388,ALJAMILA,(+20)01156429958,Apartment,10/6/2024,Cash,VIP,Active
C000265,L095677,ahmedemyoussef,(+20)01245660561,Bungalow,4/11/2024,Installments,New,Active
C000266,L000391,Rania Khaled,(+20)01247376821,Apartment,9/10/2024,Cash,VIP,Active
C000267,L093062,NurLaylaman,(+20)01039996929,Townhouse,4/15/2024,Installments,New,Active
C000268,L000395,Essam_54,(+20)01529032162,Apartment,2/26/2024,Installments,Returning,Active
C000269,L000397,umemanallah,(+20)01091248365,Apartment,2/21/2024,Installments,New,Inactive
C000270,L000120,Bahiawan,(+20)01517028229,Duplex,10/11/2024,Installments,New,Inactive
C000271,L077417,DahYahya,(+20)01286906907,Hotel Apartment,4/26/2024,Installments,Returning,Active
C000272,L000399,Abu-Hani,(+20)01129547694,Apartment,10/17/2024,Cash,VIP,Active
C000273,L066119,Dalal Maher,(+20)01086190904,iVilla,10/9/2024,Installments,New,Active
C000274,L000403,Abdafaf,(+20)01237260715,Apartment,8/23/2024,Cash,VIP,Active
C000275,L078215,TamerarKarim,(+20)01598172125,Penthouse,2/25/2024,Installments,Returning,Active
C000276,L068687,Gal-Faiza,(+20)01265201622,Townhouse,2/3/2024,Cash,VIP,Active
C000277,L000319,MedhatemOsama,(+20)01577822852,Villa,2/25/2024,Installments,New,Inactive
C000278,L000126,DarHalaallah,(+20)01036788718,Duplex,11/21/2024,Cash,VIP,Active
C000279,L000408,Yktxbyqcxmiq475,(+20)01286678799,Apartment,10/22/2024,Installments,New,Active
C000280,L000409,KHUFUELFADI,(+20)01156012373,Apartment,8/7/2024,Cash,VIP,Inactive
C000281,L073502,Hatshepsuti,(+20)01015609886,Townhouse,10/10/2024,Cash,VIP,Active
C000283,L000411,Fatma22,(+20)01522564713,Apartment,3/8/2024,Installments,Returning,Inactive
C000284,L000412,Ben Ammar,(+20)01089676029,Apartment,10/27/2024,Cash,VIP,Active
C000285,L000327,El-Dalia-eldeen,(+20)01007412824,Villa,9/13/2024,Installments,New,Active
C000286,L000333,Khalil_94,(+20)01570081344,Villa,8/16/2024,Installments,Returning,Active
C000287,L014041,Mxlgsfftabyp,(+20)01125989941,Townhouse,8/10/2024,Cash,VIP,Active
C000288,L007504,Bint Youssef,(+20)01281026388,Penthouse,2/9/2024,Installments,New,Active
C000290,L072409,Ghada_36,(+20)01056408225,Penthouse,5/1/2024,Installments,Returning,Inactive
C000291,L000416,issam-af,(+20)01285825455,Apartment,7/28/2024,Installments,Returning,Active
C000292,L034389,BintAmran,(+20)01574059864,Townhouse,8/7/2024,Installments,Returning,Active
C000293,L000419,Maryam11,(+20)01163818592,Apartment,10/22/2024,Installments,New,Active
C000295,L069203,BarMaatah442,(+20)01224201859,Penthouse,10/11/2024,Installments,New,Active
C000297,L070042,Layla77,(+20)01243204349,Penthouse,4/13/2024,Installments,Returning,Active
C000298,L000340,MedhatelHassan,(+20)01023632061,Villa,3/4/2024,Cash,VIP,Active
C000300,L083126,galcleopatra,(+20)01073731270,Townhouse,2/4/2024,Cash,VIP,Active
C000301,L000424,Gaber-osh,(+20)01065550209,Apartment,9/10/2024,Cash,VIP,Active
C000303,L000425,ashrafathatshepsut,(+20)01090794967,Apartment,9/28/2024,Cash,VIP,Active
C000304,L000426,nefert6735,(+20)01255547602,Apartment,4/10/2024,Cash,VIP,Active
C000306,L000433,Khaled29,(+20)01538921233,Apartment,4/17/2024,Cash,VIP,Active
C000307,L000434,saadanmostafa,(+20)01273252145,Apartment,10/5/2024,Installments,Returning,Active
C000308,L000436,IbnBahaa,(+20)01530016195,Apartment,2/8/2024,Cash,Returning,Active
C000309,L000437,AbuHalaeddine,(+20)01160549774,Apartment,8/16/2024,Installments,New,Active
C000310,L084236,Akhen Labib,(+20)01539063874,Penthouse,10/28/2024,Cash,VIP,Active
C000311,L091339,Nasserabamr,(+20)01574329477,Penthouse,2/12/2024,Installments,New,Active
C000313,L000438,Yasmin72,(+20)01108652581,Apartment,9/22/2024,Installments,Returning,Active
C000314,L000442,AmrazTamer,(+20)01118565900,Apartment,2/10/2024,Cash,VIP,Active
C000315,L088119,Noor-Tarek-eldeen,(+20)01012717687,Studio,8/2/2024,Installments,Returning,Active
C000316,L000445,Reda-Raed,(+20)01549189537,Apartment,4/1/2024,Installments,New,Inactive
C000317,L000446,YoussefamIbrahim,(+20)01291494242,Apartment,4/19/2024,Installments,New,Active
C000318,L000447,MagdyalIbrahim,(+20)01520947929,Apartment,3/7/2024,Cash,Returning,Active
C000319,L000448,HaniilAshraf,(+20)01100558270,Apartment,4/10/2024,Installments,New,Active
C000320,L000347,Noura-on,(+20)01110155850,Villa,4/21/2024,Cash,VIP,Active
C000321,L000449,RaafatidIman505,(+20)01161477600,Apartment,10/4/2024,Cash,VIP,Active
C000323,L000350,NurZainab,(+20)01025230109,Villa,4/13/2024,Installments,Returning,Inactive
C000324,L000454,DarZayed,(+20)01201231155,Apartment,4/26/2024,Cash,Returning,Inactive
C000325,L000127,MedhatatHussein,(+20)01234030194,Duplex,8/24/2024,Cash,New,Active
C000326,L000456,AbdMaat,(+20)01148852361,Apartment,9/24/2024,Cash,VIP,Active
C000327,L000463,Dah Fadi,(+20)01002435612,Apartment,9/10/2024,Installments,New,Active
C000328,L000464,Mohamed_97,(+20)01098487996,Apartment,9/28/2024,Installments,Returning,Active
C000329,L088941,nyyaekq,(+20)01139796026,Twin House,8/23/2024,Installments,Returning,Active
C000330,L000356,Zakaria-i,(+20)01290920829,Villa,9/17/2024,Installments,Returning,Active
C000331,L000465,NefertitiusIsis,(+20)01017218713,Apartment,4/23/2024,Cash,Returning,Active
C000332,L000469,Dalia_13,(+20)01212617231,Apartment,9/16/2024,Installments,New,Active
C000333,L082606,AbdTarekeldeen,(+20)01514854373,Townhouse,3/27/2024,Cash,VIP,Inactive
C000334,L000475,nur-rania-on,(+20)01229080123,Apartment,4/14/2024,Installments,New,Active
C000335,L000359,UmOsamaallah,(+20)01103636723,Villa,3/8/2024,Installments,Returning,Active
C000336,L000477,Hebain,(+20)01011105438,Apartment,3/12/2024,Installments,Returning,Active
C000337,L000478,NabilarRaed,(+20)01155746536,Apartment,9/15/2024,Cash,VIP,Active
C000339,L000486,AlNassereldin,(+20)01174915915,Apartment,10/4/2024,Cash,VIP,Active
C000340,L000490,NOORLAYLAMAN,(+20)01167430845,Apartment,4/22/2024,Installments,Returning,Active
C000342,L000373,TFTWFJT,(+20)01117765309,Villa,9/11/2024,Cash,VIP,Inactive
C000343,L000494,Farjamila,(+20)01161148872,Apartment,9/13/2024,Installments,Returning,Active
C000344,L000495,ibnsarael,(+20)01018120134,Apartment,9/19/2024,Installments,Returning,Active
C000345,L000496,Amr_20,(+20)01177766447,Apartment,4/6/2024,Cash,VIP,Active
C000347,L000503,AnubisedBahaa167,(+20)01015889975,Apartment,2/4/2024,Cash,New,Active
C000348,L000505,ESSAMABALI,(+20)01255792520,Apartment,2/2/2024,Installments,Returning,Inactive
C000349,L000151,Ayn-Khalil,(+20)01550821499,Duplex,8/31/2024,Installments,New,Inactive
